modifier,count
european,20
new,15
unique,13
own,10
simple,10
narrative,10
individual,9
frankish,9
modern,8
islamic,7
personal,7
different,6
venetian,6
artistic,6
western,6
traditional,5
poetic,4
magical,4
epistolary,4
old,4
lyrical,3
individualistic,3
beautiful,3
distinctive,3
literary,3
unusual,3
same,3
actual,2
close,2
interesting,2
reminiscent,2
staccato,2
original,2
oriental,2
soviet,2
similar,2
eastern,2
laconic,2
like,2
direct,2
special,2
painting,2
repetitive,2
other,2
exceptional,1
pompous,1
significant,1
regional,1
enchanting,1
visual,1
specific,1
working,1
allegorical,1
orhan,1
quiet,1
meta,1
odd,1
immaculate,1
grand,1
formal,1
ensuing,1
conversational,1
pooh,1
unconventional,1
fable,1
standard,1
surreal,1
called,1
absurd,1
pure,1
less,1
journalistic,1
ornate,1
certain,1
perfect,1
great,1
immutable,1
digestible,1
pamuk,1
elevated,1
frank,1
shooting,1
shifting,1
breathless,1
simplistic,1
sparse,1
omniscent,1
intriguing,1
folklike,1
dark,1
prose,1
smooth,1
filled,1
changing,1
such,1
engaging,1
classical,1
write,1
cultural,1
dramatic,1
american,1
readable,1
multilayered,1
nice,1
fine,1
stiff,1
choppy,1
nonsensical,1
witty,1
intentional,1
light,1
genuine,1
good,1
oversimplified,1
conscious,1
documentary,1
indulgent,1
lush,1
dense,1
essential,1
enjoyable,1
operatic,1
afghan,1
ominous,1
distinct,1
verbose,1
complete,1
graceful,1
boring,1
excessive,1
inquisitive,1
meticulous,1
painterly,1
rich,1
melancholic,1
peculiar,1
declarative,1
innovative,1
fic,1
amateur,1
painstaking,1
ascetic,1
conventional,1
wise,1
long,1
spare,1
essayistic,1
elegant,1
first,1
straightforward,1
powerful,1
exotic,1
poor,1
particular,1
delightful,1
precipitous,1
only,1
honest,1
stenographic,1
comfortable,1
profound,1
transparent,1
recognizable,1
allegory,1
top,1
key,1
epical,1
much,1
