modifier,count
european,20
new,15
unique,14
simple,11
own,10
narrative,10
frankish,10
individual,9
modern,8
islamic,7
venetian,7
personal,7
artistic,6
western,6
different,6
old,5
epistolary,5
traditional,5
magical,4
poetic,4
lyrical,3
individualistic,3
same,3
literary,3
unusual,3
distinctive,3
beautiful,3
soviet,2
like,2
oriental,2
special,2
actual,2
painting,2
similar,2
original,2
interesting,2
repetitive,2
stenographic,2
staccato,2
reminiscent,2
other,2
close,2
laconic,2
quiet,2
pompous,2
eastern,2
direct,2
journalistic,2
american,1
light,1
exotic,1
grand,1
fic,1
changing,1
stiff,1
poor,1
afghan,1
witty,1
top,1
conscious,1
honest,1
precipitous,1
particular,1
pooh,1
painterly,1
ensuing,1
conversational,1
specific,1
surreal,1
amateur,1
regional,1
meta,1
lush,1
shooting,1
excessive,1
sparse,1
dark,1
indulgent,1
complete,1
digestible,1
dramatic,1
cultural,1
nice,1
write,1
engaging,1
dense,1
visual,1
ascetic,1
perfect,1
pamuk,1
long,1
folklike,1
significant,1
simplistic,1
oversimplified,1
exceptional,1
delightful,1
filled,1
smooth,1
breathless,1
only,1
frank,1
essayistic,1
certain,1
profound,1
nonsensical,1
documentary,1
operatic,1
conventional,1
ornate,1
readable,1
formal,1
ominous,1
genuine,1
recognizable,1
epical,1
distinct,1
absurd,1
multilayered,1
allegory,1
straightforward,1
intriguing,1
peculiar,1
enjoyable,1
orhan,1
elevated,1
shifting,1
less,1
much,1
boring,1
enchanting,1
inquisitive,1
allegorical,1
immaculate,1
standard,1
spare,1
working,1
such,1
meticulous,1
key,1
first,1
prose,1
painstaking,1
unconventional,1
melancholic,1
immutable,1
wise,1
declarative,1
odd,1
powerful,1
essential,1
graceful,1
classical,1
rich,1
good,1
intentional,1
fable,1
fine,1
transparent,1
omniscent,1
great,1
pure,1
comfortable,1
called,1
choppy,1
innovative,1
verbose,1
elegant,1
