modifier,count
beautifully,110
well,106
ever,51
how,36
when,34
why,23
ago,19
just,15
again,13
only,12
originally,11
all,10
so,10
also,9
brilliantly,8
even,8
actually,8
really,7
where,7
here,6
then,6
wonderfully,6
simply,6
later,5
too,5
already,5
poorly,5
once,5
more,5
however,4
mostly,4
now,4
better,4
anyway,4
back,4
masterfully,3
badly,3
usually,3
first,3
nicely,3
gorgeously,3
always,3
very,3
impressively,2
perhaps,2
never,2
still,2
often,2
convincingly,2
much,2
away,2
easily,2
apart,2
beautiful,2
hardly,2
prior,2
though,2
harder,2
amazingly,2
clearly,2
as,2
instead,2
especially,2
probably,2
eloquent,2
mainly,2
exquisitely,2
above,2
intelligently,2
passionately,2
cleverly,2
earlier,2
poetically,2
such,2
extensively,2
certainly,2
deftly,1
presentably,1
romantically,1
fortunately,1
pamuk,1
awesome,1
smoothly,1
absurdly,1
fabulously,1
differently,1
thankfully,1
authoritatively,1
stunningly,1
outside,1
worth,1
remarkably,1
truly,1
down,1
quickly,1
contemporaneously,1
ostensibly,1
consciously,1
plainly,1
professionally,1
breathtakingly,1
clever,1
richly,1
maybe,1
before,1
imaginatively,1
of,1
entirely,1
luminously,1
quite,1
skillfully,1
sure,1
alone,1
decent,1
deliberately,1
sad,1
georgeously,1
finely,1
after,1
formally,1
adequately,1
hurriedly,1
perfectly,1
exclusively,1
besides,1
reportedly,1
forever,1
seriously,1
elsewhere,1
samizdat,1
powerfully,1
honestly,1
ooooh,1
undeniably,1
close,1
astonishingly,1
doubt,1
straightforward,1
truthfully,1
there,1
indeed,1
extremely,1
bravely,1
definitely,1
far,1
yet,1
superbly,1
over,1
throughout,1
ironically,1
dreamily,1
pearl.s.buck,1
technically,1
basically,1
clumsily,1
whenever,1
nowadays,1
exactly,1
lately,1
lusciously,1
anymore,1
next,1
