modifier,count
great,59
other,35
many,25
favorite,24
favourite,17
western,13
good,12
talented,11
brilliant,11
winning,11
greatest,10
famous,10
few,8
known,8
gifted,8
intelligent,7
young,7
amazing,7
wonderful,7
worse,7
best,6
first,6
american,6
successful,6
male,6
living,6
contemporary,6
masterful,5
different,5
new,5
classic,4
only,4
modern,4
fellow,4
international,4
colombian,4
skillful,4
pale,4
aging,4
more,4
most,4
major,3
important,3
poor,3
such,3
same,3
prominent,3
prolific,3
narratorial,2
several,2
outside,2
omniscient,2
future,2
european,2
perfect,2
influenced,2
actual,2
official,2
certain,2
able,2
jewish,2
imaginative,2
probably,2
original,2
classical,2
istanbul,2
true,2
aspiring,2
born,2
undisciplined,2
interesting,2
beautiful,2
native,2
diverse,2
persecuted,2
evocative,2
dead,2
older,2
awesome,2
foreign,2
yet,2
obscure,2
second,2
various,2
aforementioned,1
humourless,1
least,1
wrong,1
referenced,1
comparable,1
budding,1
enticing,1
innovative,1
didactic,1
loving,1
literary,1
thwarted,1
medieval,1
creative,1
tough,1
admired,1
finest,1
anyway,1
deservedly,1
flawed,1
british,1
banned,1
asian,1
egyptian,1
approoved,1
wise,1
selling,1
practically,1
former,1
incredible,1
alive,1
erudite,1
weary,1
deft,1
lesser,1
intent,1
bad,1
surrealistic,1
adept,1
full,1
changing,1
average,1
active,1
missing,1
controlled,1
indonesian,1
emerging,1
once,1
popular,1
unknown,1
aware,1
fantastic,1
garde,1
aside,1
melancholic,1
institutionalized,1
comic,1
failed,1
reading,1
even,1
feckless,1
fabulous,1
is,1
controversial,1
unsuccessful,1
ancient,1
fictional,1
cooler,1
powerful,1
famed,1
excellent,1
repressed,1
meritorious,1
notorious,1
exceptional,1
feted,1
though,1
memorable,1
embittered,1
old,1
based,1
surrogate,1
right,1
sagacious,1
perceptive,1
cuban,1
unnamed,1
special,1
mediocre,1
just,1
employed,1
pure,1
mesmerizing,1
sensitive,1
about,1
skilled,1
established,1
elegant,1
muscovite,1
rare,1
imaginary,1
acclaimed,1
accomplished,1
very,1
formidable,1
lonely,1
soviet,1
columbian,1
developing,1
postmodern,1
observant,1
local,1
later,1
fair,1
rated,1
romantic,1
superior,1
swiss,1
wwii,1
then,1
renowned,1
remarkable,1
countless,1
tedious,1
fond,1
experienced,1
austere,1
current,1
