modifier,count
great,14
winning,7
brilliant,4
famous,4
favorite,4
favourite,4
american,3
same,3
colombian,3
prominent,2
actual,2
masterful,2
different,2
known,2
omniscient,2
narratorial,2
male,2
true,2
successful,2
living,2
skillful,2
first,2
adept,1
new,1
columbian,1
unsuccessful,1
weary,1
aspiring,1
tedious,1
postmodern,1
dead,1
wonderful,1
rare,1
later,1
famed,1
imaginative,1
formidable,1
many,1
unknown,1
classic,1
very,1
aware,1
asian,1
employed,1
loving,1
older,1
obscure,1
ancient,1
british,1
egyptian,1
innovative,1
original,1
indonesian,1
wrong,1
perfect,1
right,1
good,1
intent,1
born,1
amazing,1
surrogate,1
embittered,1
official,1
muscovite,1
gifted,1
fictional,1
full,1
able,1
only,1
swiss,1
future,1
fond,1
foreign,1
remarkable,1
imaginary,1
poor,1
unnamed,1
changing,1
